BRAND,LIFESTAGE,PREMIUM_CUSTOMER,TOTAL_SALES,TOTAL_UNITS,UNIQUE_CUSTOMERS,TRANSACTIONS,BRAND_TOTAL_SALES,SEG_SHARE_OF_BRAND,AVG_SPEND_PER_CUSTOMER
Tyrrells,OLDER SINGLES/COUPLES,Mainstream,3742.2000000000003,891,447,467,51647.4,0.07245669675530618,8.371812080536913
Tyrrells,OLDER SINGLES/COUPLES,Premium,3347.4,797,395,413,51647.4,0.06481255590794503,8.474430379746837
Tyrrells,RETIREES,Budget,3183.6,758,373,398,51647.4,0.06164105066276327,8.535120643431636
Tyrrells,RETIREES,Mainstream,4069.8,969,499,514,51647.4,0.07879970724566968,8.155911823647296
Tyrrells,RETIREES,Premium,2801.4,667,320,347,51647.4,0.05424087175733919,8.754375
Tyrrells,YOUNG FAMILIES,Budget,3624.6000000000004,864,423,449,51647.4,0.0701797186305603,8.568794326241136
Tyrrells,YOUNG FAMILIES,Mainstream,2482.2000000000003,591,275,301,51647.4,0.048060502561600396,9.026181818181819
Tyrrells,YOUNG FAMILIES,Premium,2007.6000000000001,478,236,247,51647.4,0.03887126941530455,8.50677966101695
Tyrrells,YOUNG SINGLES/COUPLES,Budget,1621.2,386,196,204,51647.4,0.031389769862568105,8.271428571428572
Tyrrells,YOUNG SINGLES/COUPLES,Mainstream,4800.6,1143,603,619,51647.4,0.09294949987801904,7.961194029850747
Tyrrells,YOUNG SINGLES/COUPLES,Premium,991.2,236,127,132,51647.4,0.019191672765715217,7.804724409448819
Woolworths,MIDAGE SINGLES/COUPLES,Budget,1052.5,590,267,317,49343.6,0.021330020509245373,3.9419475655430714
Woolworths,MIDAGE SINGLES/COUPLES,Mainstream,1491.8,840,367,438,49343.6,0.030232897478092397,4.064850136239782
Woolworths,MIDAGE SINGLES/COUPLES,Premium,1739.2,983,423,532,49343.6,0.035246718926061335,4.1115839243498815
Woolworths,NEW FAMILIES,Budget,410.7,230,114,128,49343.6,0.00832326786047228,3.6026315789473684
